"","Select characteristics...1","Total","device_always","device_usually","device_sometimes","device_rarely","device_never","device_nr","internet_always","internet_usually","internet_sometimes","internet_rarely","internet_never","internet_nr","State","Week"
"1","Total",153746,115469,19593,10796,5211,1707,971,115460,24030,8505,3092,1689,971,"AK",1
"2","comp_school",48526,35065,8818,3516,1127,0,0,35944,9537,1214,142,1689,0,"AK",1
"3","comp_home",107391,85264,12610,6790,2726,0,0,86852,14001,5940,598,0,0,"AK",1
"4","comp_other",5629,3762,161,1706,0,0,0,2307,3039,282,0,0,0,"AK",1
"5","comp_nr",4814,103,0,0,2033,1707,971,181,0,1310,2352,0,971,"AK",1
"6","int_school",11874,11045,103,196,451,78,0,11433,103,196,142,0,0,"AK",1
"7","int_home",143596,112054,16843,9078,3914,1707,0,112815,21500,7177,2104,0,0,"AK",1
"8","int_other",3640,1634,909,110,987,0,0,366,1272,1015,987,0,0,"AK",1
"9","int_nr",5892,1587,1922,1412,0,0,971,1587,1527,117,0,1689,971,"AK",1
"10","yes_unemployed",68448,52803,9529,2689,2000,1428,0,52403,10805,3450,1791,0,0,"AK",1
"11","no_unemployed",85298,62666,10064,8107,3210,280,971,63057,13225,5055,1301,1689,971,"AK",1
"12","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"AK",1
"13","resp_employed_yes",98644,73883,13416,7415,3467,280,183,76239,15402,5035,1785,0,183,"AK",1
"14","resp_employed_no",55102,41586,6177,3381,1744,1428,788,39221,8628,3470,1307,1689,788,"AK",1
"15","resp_employed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"AK",1
"16","food_enough_want",116501,97499,11043,4653,2225,110,971,97250,11351,3344,1896,1689,971,"AK",1
"17","food_enough_notwant",23779,11823,6090,4229,1351,287,0,10477,10913,2180,209,0,0,"AK",1
"18","food_sometimes",10198,4838,2460,1914,987,0,0,5775,1766,1671,987,0,0,"AK",1
"19","food_notenough",3268,1310,0,0,647,1310,0,1958,0,1310,0,0,0,"AK",1
"20","food_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"AK",1
"21","25000>",9082,2982,347,1599,2844,1310,0,3559,3043,1635,845,0,0,"AK",1
"22","25000-34999",20111,18475,1376,0,142,117,0,18516,1218,117,259,0,0,"AK",1
"23","35000-49999",12383,4752,2457,4296,786,92,0,5577,4829,196,92,1689,0,"AK",1
"24","50000-74999",26844,22421,2191,1044,1188,0,0,21388,2855,1159,1441,0,0,"AK",1
"25","75000-99999",25930,21281,3981,590,0,78,0,20861,4912,157,0,0,0,"AK",1
