state,week,device_average_score,internet_average_score
AK,1,4.583403152,4.626433471
AL,1,4.555384678,4.541908379
AR,1,4.075380578,4.201018163
AZ,1,4.376019578,4.518743457
CA,1,4.613521014,4.722926917
CO,1,4.620178795,4.608958147
CT,1,4.698685862,4.740988002
DE,1,4.562513083,4.662066348
FL,1,4.507704548,4.560310343
GA,1,4.483683375,4.628602023
HI,1,4.542338373,4.631441302
IA,1,4.497019382,4.613613952
ID,1,4.477007087,4.654336998
IL,1,4.512042191,4.521980674
IN,1,4.5773183,4.549730782
KS,1,4.537840302,4.470723052
KY,1,4.182755193,4.295753616
LA,1,4.247014768,4.280018019
MA,1,4.64387181,4.739650847
MD,1,4.547719691,4.742130361
ME,1,4.694078066,4.726384407
MI,1,4.330795396,4.488129162
MN,1,4.693943645,4.710071622
MO,1,4.51015491,4.586091747
MS,1,4.219288769,4.310618596
MT,1,4.451144589,4.573731453
NC,1,4.633454486,4.575144839
ND,1,4.66081936,4.799525646
NE,1,4.592052015,4.739505977
NH,1,4.742394242,4.765290838
NJ,1,4.602532033,4.721231066
NM,1,4.449472759,4.586214186
NV,1,4.428568414,4.69676266
NY,1,4.573569926,4.610239701
OH,1,4.552781273,4.641562321
OK,1,4.289255441,4.540529172
OR,1,4.604436015,4.690387674
PA,1,4.534024759,4.693192025
RI,1,4.808576162,4.834507511
SC,1,4.464953539,4.529879204
SD,1,4.72508604,4.694215322
TN,1,4.551083398,4.670717569
TX,1,4.495553245,4.47337808
UT,1,4.614608124,4.754854122
VA,1,4.539255045,4.680221194
VT,1,4.671429726,4.604350559
WA,1,4.565472283,4.634595874
WI,1,4.481468409,4.47717622
WV,1,4.439778752,4.501821806
WY,1,4.776667748,4.70223841
AK,2,4.611738843,4.600522374
AL,2,4.701559143,4.613613488
AR,2,4.22455395,4.228666288
AZ,2,4.556899649,4.639955416
CA,2,4.237985579,4.457612127
CO,2,4.711011055,4.798262205
CT,2,4.664131014,4.659572078
DE,2,4.532575219,4.646549644
FL,2,4.558304324,4.561765017
GA,2,4.34331632,4.584812065
HI,2,4.344008132,4.43855427
IA,2,4.517696837,4.621361535
ID,2,4.452049686,4.67387716
IL,2,4.438432017,4.418036233
IN,2,4.597549071,4.542853474
KS,2,4.564276591,4.649624387
KY,2,4.555160414,4.62440884
LA,2,4.229534601,4.316138211
MA,2,4.564613428,4.601489913
MD,2,4.405689694,4.779915102
ME,2,4.577480101,4.655292147
MI,2,4.467167874,4.5196434
MN,2,4.610868966,4.659618386
MO,2,4.649973463,4.653796342
MS,2,3.888919696,3.962704091
MT,2,4.515559283,4.603115727
NC,2,4.58098498,4.648208677
ND,2,4.60013873,4.645297026
NE,2,4.531592954,4.628642177
NH,2,4.699249118,4.816856929
NJ,2,4.598331521,4.582173306
NM,2,4.500477969,4.558802552
NV,2,4.572113456,4.590195783
NY,2,4.45822072,4.462638365
OH,2,4.633654609,4.760720674
OK,2,4.181020839,4.514499205
OR,2,4.683975435,4.751151307
PA,2,4.663385446,4.718114457
RI,2,4.77217374,4.631215683
SC,2,4.252005699,4.139046271
SD,2,4.732223639,4.751431763
TN,2,4.491661107,4.689164967
TX,2,4.581518513,4.589788419
UT,2,4.617521893,4.663144904
VA,2,4.525353983,4.781062261
VT,2,4.785108944,4.601087363
WA,2,4.504863295,4.618861848
WI,2,4.460334015,4.453372625
WV,2,4.316006282,4.242422448
WY,2,4.64438856,4.665065362
AK,3,4.384679664,4.424242186
AL,3,4.39532998,4.489359491
AR,3,4.52328077,4.559573111
AZ,3,4.537697291,4.620933538
CA,3,4.573293501,4.644114375
CO,3,4.48700655,4.667980102
CT,3,4.692822857,4.792318447
DE,3,4.51136271,4.516736548
FL,3,4.675942836,4.662563466
GA,3,4.538007689,4.597810766
HI,3,4.504989207,4.609669414
